ProductTitle,Category,Gender,Price_USD,Color,Size,UnitsSold,TotalRevenue,PriceCategory,SalesCategory
Urban Sweater 552,Top,Women,33.39,Pink,XL,541,18063.99,Low,Hot Seller
Classic Sweater 982,Outerwear,Women,78.37,Gray,XL,55,4310.35,Medium,Slow Mover
Vintage Shorts 833,Bottom,Women,70.88,Red,XL,124,8789.12,Medium,Moderate Seller
Tailored Shorts 520,Bottom,Unisex,63.95,Green,M,133,8505.35,Medium,Moderate Seller
Vintage Blouse 779,Bottom,Women,68.94,Gray,S,113,7790.22,Medium,Moderate Seller
Tailored Skirt 644,Top,Women,49.21,Gray,S,397,19536.37,Low,Moderate Seller
Urban Blouse 724,Outerwear,Men,102.09,Pink,XL,79,8065.11,High,Slow Mover
Classic Dress 180,Accessory,Women,43.13,Blue,M,269,11601.97,Low,Moderate Seller
Flowy Sweater 876,Dress,Women,82.33,Red,L,110,9056.3,Medium,Moderate Seller
Classic Blouse 965,Top,Unisex,58.04,Red,M,260,15090.4,Medium,Moderate Seller
Classic Skirt 422,Top,Men,37.22,Pink,L,525,19540.5,Low,Hot Seller
Essential Pants 250,Dress,Women,97.1,White,M,53,5146.3,Medium,Slow Mover
Classic Jacket 893,Top,Unisex,33.68,Red,L,585,19702.8,Low,Hot Seller
Essential Dress 998,Dress,Women,118.84,Gray,S,33,3921.72,High,Slow Mover
Essential Blouse 393,Accessory,Women,22.56,Red,XL,448,10106.88,Low,Hot Seller
Relaxed Jacket 731,Outerwear,Men,168.61,White,S,44,7418.84,High,Slow Mover
Flowy Jacket 328,Outerwear,Unisex,138.35,Gray,XL,100,13835.0,High,Moderate Seller
Vintage Pants 523,Top,Women,34.93,Green,S,139,4855.27,Low,Moderate Seller
Urban Jacket 232,Outerwear,Unisex,106.77,Beige,XL,44,4697.88,High,Slow Mover
Relaxed Shorts 624,Accessory,Women,29.98,Red,M,261,7824.78,Low,Moderate Seller
Classic Pants 433,Bottom,Men,89.22,Blue,L,100,8922.0,Medium,Moderate Seller
Essential Sweater 960,Outerwear,Unisex,146.02,Black,XS,109,15916.18,High,Moderate Seller
Relaxed Sweater 109,Dress,Men,67.46,Gray,L,31,2091.26,Medium,Slow Mover
Essential Skirt 196,Top,Men,52.97,Green,XS,277,14672.69,Medium,Moderate Seller
Relaxed Pants 766,Outerwear,Men,144.69,Green,XS,104,15047.76,High,Moderate Seller
Essential Jeans 264,Top,Women,48.63,White,M,527,25628.01,Low,Hot Seller
Relaxed T-Shirt 182,Bottom,Men,70.69,Black,S,111,7846.59,Medium,Moderate Seller
Essential Pants 239,Top,Women,35.14,Green,M,162,5692.68,Low,Moderate Seller
Flowy Blouse 779,Top,Unisex,55.27,White,L,528,29182.56,Medium,Hot Seller
Modern Skirt 910,Top,Men,36.22,Gray,L,102,3694.44,Low,Moderate Seller
Essential Jacket 503,Outerwear,Men,198.27,White,L,73,14473.71,High,Slow Mover
Modern Jeans 278,Bottom,Women,58.82,Black,S,194,11411.08,Medium,Moderate Seller
