Category,Gender,Color,Size,PriceCategory,Price_USD,UnitsSold,SalesCategory
Outerwear,Unisex,Blue,M,Low,57.66239755204968,330.69928335963186,Hot Seller
Dress,Men,Beige,S,Medium,72.95372214183138,259.4976355734906,Moderate Seller
Bottom,Women,Red,M,Low,72.98370428941989,10.0,Slow Mover
Top,Unisex,Red,L,High,48.29978236628801,47.692408293075005,Slow Mover
Bottom,Unisex,Black,S,Medium,78.92631505361744,353.2914539868598,Hot Seller
Dress,Unisex,Black,XS,Medium,32.26174791482268,287.28916426121265,Moderate Seller
Bottom,Men,White,S,High,62.87961209208317,437.87039819396193,Hot Seller
Dress,Women,Red,L,Low,15.0,43.82034974596064,Slow Mover
Accessory,Women,Gray,M,Medium,103.15152877264322,142.96753309699784,Moderate Seller
Accessory,Women,Black,L,Low,55.1803310371881,10.0,Slow Mover
Outerwear,Men,Beige,S,High,74.45080001303273,51.874843088898416,Slow Mover
Dress,Men,Green,S,High,57.902890669635426,323.42197708012657,Hot Seller
Top,Men,Gray,XS,Low,71.76464099157904,323.1394546434981,Hot Seller
Top,Men,Black,S,High,45.686156421938264,373.82691091390694,Hot Seller
Accessory,Women,Green,XS,Medium,103.84635408398822,407.78270039370125,Hot Seller
Accessory,Unisex,Beige,XL,Low,88.14482279939277,110.16591869873537,Moderate Seller
Bottom,Men,Pink,XS,Medium,81.52116563759509,387.9838805967097,Hot Seller
Accessory,Unisex,Blue,L,Medium,107.5245030751233,186.00817310159348,Moderate Seller
Dress,Women,Beige,XL,Medium,63.50012160736423,97.7831947144591,Slow Mover
Outerwear,Men,Pink,L,High,94.99427531874665,148.76313111707617,Moderate Seller
Dress,Women,White,L,High,30.586671707660933,52.36838100256912,Slow Mover
Dress,Men,Gray,XL,High,128.84292412592407,480.2659751930326,Hot Seller
Accessory,Unisex,Gray,XS,High,38.99098791863504,231.0513521258989,Moderate Seller
Dress,Women,White,M,High,89.37806925189452,202.49260786135434,Moderate Seller
Top,Unisex,Beige,XS,Low,61.32767021743032,207.38225966525366,Moderate Seller
Top,Women,Black,S,Medium,62.52808031660131,284.7267176531318,Moderate Seller
Top,Unisex,Red,L,Medium,58.766782164767925,252.1728976540987,Moderate Seller
Top,Women,Green,XL,Low,111.98352306895696,215.94538575608598,Moderate Seller
Dress,Unisex,Blue,S,High,49.01497053136451,409.401298464,Hot Seller
Outerwear,Men,Blue,S,Medium,110.64350843821701,371.86419395840653,Hot Seller
